canonical_name,fifa_code,aliases,region,notes
Korea Republic,KOR,"Korea Republic;South Korea;Korea;Republic of Korea;대한민국;한국",Asia,"한국 관련 핵심 매핑. 데이터셋별 South Korea/Korea Republic 혼용 주의"
Japan,JPN,"Japan;日本;JPN",Asia,"초안"
Iran,IRN,"Iran;IR Iran;Islamic Republic of Iran",Asia,"FIFA 표기와 일반 표기 혼용 가능"
Australia,AUS,"Australia;Socceroos",Asia,"AFC 소속 기준"
Saudi Arabia,KSA,"Saudi Arabia;Saudi;KSA",Asia,"초안"
Qatar,QAT,"Qatar",Asia,"초안"
Iraq,IRQ,"Iraq",Asia,"초안"
Uzbekistan,UZB,"Uzbekistan",Asia,"초안"
United States,USA,"United States;USA;United States of America;US;U.S.;U.S.A.",North America,"표기 혼용 주의. 2026 관련 공식 데이터는 확인 필요"
Mexico,MEX,"Mexico;México",North America,"표기 혼용 주의. 2026 관련 공식 데이터는 확인 필요"
Canada,CAN,"Canada",North America,"2026 관련 공식 데이터는 확인 필요"
Brazil,BRA,"Brazil;Brasil",South America,"초안"
Argentina,ARG,"Argentina",South America,"초안"
Uruguay,URU,"Uruguay",South America,"초안"
Colombia,COL,"Colombia",South America,"초안"
France,FRA,"France",Europe,"초안"
Germany,GER,"Germany;Deutschland;West Germany",Europe,"역대 경기 데이터에서 West Germany 등장 가능. 통합 기준 확인 필요"
Spain,ESP,"Spain;España",Europe,"초안"
Portugal,POR,"Portugal",Europe,"초안"
England,ENG,"England",Europe,"UK/Great Britain과 혼동 금지"
Netherlands,NED,"Netherlands;Holland;The Netherlands",Europe,"Holland 표기 등장 가능"
Italy,ITA,"Italy;Italia",Europe,"초안"
Belgium,BEL,"Belgium",Europe,"초안"
Croatia,CRO,"Croatia",Europe,"초안"
Morocco,MAR,"Morocco;Maroc",Africa,"초안"
Senegal,SEN,"Senegal",Africa,"초안"
Ghana,GHA,"Ghana",Africa,"초안"
Nigeria,NGA,"Nigeria",Africa,"초안"
Cameroon,CMR,"Cameroon",Africa,"초안"
Cote d'Ivoire,CIV,"Cote d'Ivoire;Côte d'Ivoire;Ivory Coast",Africa,"악센트/영문명 혼용 주의"
Egypt,EGY,"Egypt",Africa,"초안"
